 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, diffimgstatus, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 29 787 9 0 ZTF_r 1936240103215 4194304 2.3873 195.174 6.82255 26.243 1.84467e-05 0.0284456 0.108168 2.48183e-05 306 30. 0.096736 0.077417 20.1952 26.243 1 2459690.7401042 787120232 1 -0.846597537858286 38.3726566863026 -0.0245419989997404 1.58764748011779 -28.8748794712344 65.2158806886561 -0.4457404107531 1.06569530936087 0.462397800485168 17.9640001296997 0.0590000003576279 4.32499980926514 0.386999994516373 2458160.745150 2458229.694375 0
 30 787 9 0 ZTF_g 1936279353215 4194304 2.051 119.048 5.28468 26.2154 3.7419e-05 0.0406494 -0.0811725 5.07439e-05 305 30. 0.118408 0.079409 20.6534 26.2154 1 2459690.7793519 787120132 1 -37.8947919396507 27.1152855709765 -1.5546053049074 1.38790051400396 14.0970999040457 48.8832158640062 0.290325512185148 1.08490341201034 0.438649327263071 18.9789998054504 0.0759999975562096 5.01700019836426 0.462999999523163 2458166.884375 2458276.724259 0
 31 788 12 1 ZTF_g 1936283324515 0 2.015 145.131 6.09899 26.307 1.66961e-05 0.028771 -0.0725931 2.38299e-05 323 30. 0.093057 0.074004 20.6318 26.307 1 2459690.7833218 788120145 1 -24.5332917403725 25.1395377911711 -1.08555875888525 1.25293795090268 11.6676740752946 45.3188751589052 0.259191263911636 1.06847624022358 0.559311090529057 18.9760000228882 0.0670000016689301 4.8600001335144 0.347000002861023 2458166.882269 2458272.703889 0
 32 787 9 0 ZTF_i 1936369683215 0 2.2846 388.404 8.72251 25.603 5.3103e-06 0.0240932 0.192932 1.70055e-05 313 30. 0.105593 0.079311 19.3097 25.603 2 2459690.8696875 787120332 1 -36.1818931271575 45.9843287877042 -0.875258296137544 1.28095259573588 122.573864089052 77.8034867755283 1.5860395366597 1.08156684987919 0.406091475756576 17.3470002746582 0.0659999996423721 4.44299983978271 0.331999987363815 2458174.769132 2458561.945544 0
 33 788 12 1 ZTF_i 1936371114515 0 2.3606 317.194 8.48286 25.6575 4.7759e-06 0.0242068 0.189988 1.50476e-05 328 30. 0.10722 0.082993 19.3847 25.6575 2 2459690.8711111 788120345 1 47.8755654971152 44.1003424287269 1.20761015446512 1.05072443523948 60.151757729219 75.0151652060536 0.807261879808062 1.06623158573782 0.555405588655895 17.4110004043579 0.0599999986588955 4.40100002288818 0.29899999499321 2458223.733542 2458557.846713 0
 34 787 9 0 ZTF_g 1940361283215 4194304 2.6491 116.607 8.49273 26.017 3.58941e-05 0.0382461 -0.045977 5.82878e-05 250 30. 0.117272 0.082145 17.4238 26.017 1 2459694.8612847 787120132 1 7.30229449097783 70.5766887090136 0.115094048288734 0.956882092300701 47.9513282580066 123.327837758231 0.391430548773062 1.08442159917198 0.438649327263071 18.9789998054504 0.0759999975562096 5.01700019836426 0.462999999523163 2458166.884375 2458276.724259 0
 35 788 12 1 ZTF_g 1940364614515 0 2.6037 114.684 6.76039 26.0868 3.15025e-05 0.0385814 -0.0473716 4.97041e-05 289 30. 0.10843 0.080098 19.9569 26.0868 1 2459694.8646181 788120145 1 43.4528594434969 40.4981197034411 1.1935436378382 0.939329663628269 45.7147855363818 64.5409611200127 0.713077035862343 1.08620884550268 0.559311090529057 18.9760000228882 0.0670000016689301 4.8600001335144 0.347000002861023 2458166.882269 2458272.703889 0
 36 788 12 1 ZTF_g 1942202094515 0 1.8471 140.191 5.4448 26.3134 1.98113e-05 0.0313793 -0.0869535 2.78785e-05 328 30. 0.083644 0.069136 20.7405 26.3134 1 2459696.7020949 788120145 1 13.1790345799031 22.9175552711445 0.639690809452789 1.34912142346842 22.8576276066183 43.263701165068 0.531891040848822 1.05418752919251 0.559311090529057 18.9760000228882 0.0670000016689301 4.8600001335144 0.347000002861023 2458166.882269 2458272.703889 0
 37 787 9 0 ZTF_g 1942206503215 4194304 1.9373 119.132 5.00302 26.2433 3.64711e-05 0.040348 -0.120126 4.88574e-05 310 30. 0.120643 0.071601 20.7115 26.2433 1 2459696.7065046 787120132 1 -6.07303159187199 22.1089446954869 -0.305557063802062 2.04951709813746 -0.625176755609594 41.6071364212522 -0.0151269087748762 1.05720242948624 0.438649327263071 18.9789998054504 0.0759999975562096 5.01700019836426 0.462999999523163 2458166.884375 2458276.724259 0
 38 787 9 0 ZTF_r 1942238713215 4194304 1.8337 191.517 5.92328 26.2722 2.10984e-05 0.0305111 0.121911 2.81998e-05 309 30. 0.099783 0.076129 20.6652 26.2722 1 2459696.7387153 787120232 1 53.1991283663467 27.4707909228931 2.15421057872403 3.0912338412148 -5.57151270979242 52.7526964724197 -0.10632702294909 1.05224212373392 0.462397800485168 17.9640001296997 0.0590000003576279 4.32499980926514 0.386999994516373 2458160.745150 2458229.694375 0
